Antibiotic_Name,Drug_Class,Cost_Per_Dose_INR,Bioavailability_Percent,Administration_Route,WHO_AWaRe_Category,ICMR_Estimated_Resistance_Rate_India,Clinical_Guideline_Status
Amikacin,Aminoglycosides,180,10.0,IV / IM,Access,34.0%,Hospital use; monitor renal function
Amoxicillin,Penicillins,35,80.0,Oral / IV,Access,58.0%,First-line empirical; widespread beta-lactamase resistance
Azithromycin,Macrolides,85,38.0,Oral / IV,Watch,38.0%,Watch group; respiratory and STI infections
Cefotaxime,Cephalosporins (3rd Gen),150,10.0,IV / IM,Watch,72.1%,High ESBL resistance; restricted for serious inpatient sepsis
Ceftazidime,Cephalosporins (3rd Gen),280,10.0,IV,Watch,68.5%,Pseudomonas active; preserve for targeted therapies
Ceftriaxone,Cephalosporins (3rd Gen),95,10.0,IV / IM,Watch,75.0%,Critically overused; high ESBL hydrolytic failure
Ciprofloxacin,Fluoroquinolones,15,70.0,Oral / IV,Watch,65.0%,High resistance in Enterobacterales; avoid empiric monotherapy
Colistin,Polymyxins,2500,5.0,IV / Inhalation,Reserve,3.2%,Last-resort carbapenem-resistant reserve; strict stewardship
Doxycycline,Tetracyclines,45,95.0,Oral / IV,Access,28.5%,Access category; broad spectrum community coverage
Ethambutol,Anti-tubercular,25,80.0,Oral,Access,15.0%,Core first-line RNTCP/NTEP Anti-TB regimen component
Gentamicin,Aminoglycosides,120,5.0,IV / IM,Access,37.3%,Access category synergist; nephrotoxicity monitoring needed
Imipenem,Carbapenems,850,5.0,IV (+ Cilastatin),Watch,31.8%,Watch group; co-formulated with renal dehydropeptidase inhibitor
Isoniazid,Anti-tubercular,10,90.0,Oral / IV,Access,12.0%,Essential bactericidal first-line Anti-TB agent
Levofloxacin,Fluoroquinolones,55,99.0,Oral / IV,Watch,57.6%,Watch category; reserved for MDR-TB & severe pneumonias
Linezolid,Oxazolidinones,450,100.0,Oral / IV,Reserve,2.1%,Reserve group; active against MRSA & VRE and XDR-TB
Meropenem,Carbapenems,1200,5.0,IV,Watch,48.0%,Critical watch antibiotic; threatened by NDM-1 and OXA-48
Minocycline,Tetracyclines,120,95.0,Oral / IV,Watch,22.0%,Alternative for carbapenem-resistant Acinetobacter & MRSA
Nalidixic Acid,Quinolones,10,96.0,Oral,Access,82.0%,Historical quinolone marker; high screening utility
Piperacillin,Penicillins,200,5.0,IV (+ Tazobactam),Watch,45.0%,Anti-pseudomonal backbone; protected when combined with BLI
Rifampicin,Rifamycins,95,90.0,Oral / IV,Watch,40.0%,Cornerstone of First-Line TB therapy; surrogate marker for MDR-TB
Teicoplanin,Glycopeptides,3200,5.0,IV / IM,Watch,5.5%,Lipoglycopeptide alternative to Vancomycin with less nephrotoxicity
Vancomycin,Glycopeptides,2500,5.0,IV (Systemic) / Oral (C. diff only),Watch,6.0%,Gold-standard glycopeptide for MRSA bacteremia; AUC/MIC guided dosing
